CITY,Total Pop,HL%,HL,PERCENTWIN,TURNOUT,PERCENTWIN NORMALIZED,ELXNYR,DIST,BEFORE
1,1750,45.54285714,0,42.2,44.7,103.9,2014,0,1
1,1449,55.41752933,1,38.8,31.8,95.53,2014,0,1
1,1434.1458,13.76907425,0,44.5,51.7,109.56,2014,0,1
1,627,49.60127592,0,31.2,32.3,76.82,2014,0,1
1,3172,86.79066835,1,29.3,33.8,72.14,2014,0,1
1,1753.254,52.61599289,1,39.3,36.7,96.76,2014,0,1
1,3948.7052,88.92169514,1,29,27.3,71.4,2014,0,1
1,2647,55.19455988,1,40.4,41.9,99.47,2014,0,1
1,3221,57.28034772,1,39.4,38.5,97,2014,0,1
1,1889.5891,47.16911206,0,41.1,42.3,101.19,2014,0,1
1,736,32.47282609,0,39.9,42.6,98.24,2014,0,1
1,2437.3152,60.18169501,1,37.6,22.9,92.57,2014,0,1
1,1254.0696,33.37182402,0,42.1,37.2,103.65,2014,0,1
1,2745.58,53.02185695,1,39,34.1,96.02,2014,0,1
1,3421.721,54.48126834,1,36.5,23.3,89.86,2014,0,1
1,1074.0419,29.31101664,0,40.2,42.8,98.97,2014,0,1
1,2032.9304,42.47534003,0,42.3,31.3,104.14,2014,0,1
0,1302.5987,23.37970244,0,61.11111111,54.1720154,104.070652,2014,0,1
0,2930.8288,66.93280071,1,50.29673591,37.4227714,85.65404893,2014,0,1
0,1956.3744,52.27392057,1,60.90047393,35.74144487,103.7119423,2014,0,1
0,2946,62.55940258,1,54.27046263,36.93599161,92.42120345,2014,0,1
0,782.3,18.17857599,0,62.21719457,54.58248473,105.9542838,2014,0,1
0,1540.5837,11.63715415,0,55.30035336,46.10917538,94.17508089,2014,0,1
0,1197,23.05764411,0,55,55.06493506,93.66358684,2014,0,1
0,1988,50.80482897,1,54.33884298,40.21024967,92.53765341,2014,0,1
0,1712.451,55.93438878,1,50.78534031,43.96442186,86.48612968,2014,0,1
0,4127.0576,75.91533493,1,56.64206642,39.66346154,96.45998376,2014,0,1
0,1481.3678,26.54162592,0,55.19765739,50.61881188,94.0001923,2014,0,1
0,1272.2351,46.11427558,0,55.64853556,44.75743349,94.76802624,2014,0,1
0,1468.1926,29.7112041,0,57.43440233,51.89125296,97.80931146,2014,0,1
0,1632.27,35.03694854,0,56.5807327,49.16142558,96.35553401,2014,0,1
0,1639.3907,35.9163438,0,57.08154506,46.34146341,97.2084046,2014,0,1
0,3431,80.79277179,1,47.60638298,30.61728395,81.07244702,2014,0,1
0,640,15.15625,0,74.80519481,57.5308642,127.3913247,2014,0,1
0,1470.4139,19.50911237,0,63.04635762,51.22767857,107.3663271,2014,0,1
0,2602.946,17.020914,0,58.44155844,30.42212518,99.52447244,2014,0,1
0,1301.7254,10.86194523,0,61.33333333,51.58264947,104.4490908,2014,0,1
0,1685,18.87240356,0,57.63473054,47.37923947,98.15046525,2014,0,1
0,1839.8676,40.08218852,0,50.69860279,39.9494311,86.33841791,2014,0,1
0,2237.628,54.47876948,1,51.11111111,36.30573248,87.04090898,2014,0,1
0,1834.5044,47.45197668,0,60.36036036,47.30831974,102.7921428,2014,0,1
0,2612,46.01837672,0,55.47169811,32.10526316,94.4668766,2014,0,1
0,860.3533,27.1342366,0,59.29978118,55.5331992,100.9860037,2014,0,1
0,34.97,10.54017729,0,63.63636364,63.63636364,108.3710922,2014,0,1
0,1401.9698,54.72386067,1,52.74261603,37.43718593,89.81931994,2014,0,1
0,1670,38.14371257,0,54.93975904,42.44052187,93.56099802,2014,0,1
0,1044.4013,30.87475092,0,63.98305085,47.46317512,108.9614916,2014,0,1
0,1698.6352,16.46856253,0,59.74440895,47.92626728,101.7431934,2014,0,1
0,1977,57.00556399,1,55.02008032,41.6,93.69778311,2014,0,1
0,1152,31.94444444,0,53.28467153,54.89891135,90.74242653,2014,0,1
0,2089.3077,49.83098468,0,55.10204082,40.8,93.83735972,2014,0,1
0,1685.8713,34.27940792,0,61.04575163,42.13727194,103.9593465,2014,0,1
0,786.1116,17.97882133,0,53.5791757,52.00729927,91.24395957,2014,0,1
0,1017.01,10.55788045,0,67.01030928,57.62711864,114.1168349,2014,0,1
0,564,16.13475177,0,58.79396985,42.53246753,100.12462,2014,0,1
0,1551,74.21018698,1,52.2556391,35.51020408,88.99001073,2014,0,1
0,1076.9948,9.168456524,0,61.2244898,57.74647887,104.263733,2014,0,1
0,850.9519,27.72835926,0,58.67052023,44.27966102,99.91438848,2014,0,1
0,1208.0048,22.39877689,0,56.80379747,52.90858726,96.73540758,2014,0,1
